Date,Description,Debit,Credit,Balance
2024-01-01,Opening Balance,0,100000,100000
2024-01-05,Customer Payment - ABC Corp,0,50000,150000
2024-01-10,Supplier Payment - XYZ Ltd,30000,0,120000
2024-01-15,Salary Payment - January,45000,0,75000
2024-01-20,Office Rent - January,15000,0,60000
2024-01-22,Customer Payment - DEF Inc,0,35000,95000
2024-01-25,Utility Bills - Electricity,2500,0,92500
2024-01-28,Marketing Expenses,8000,0,84500
2024-01-30,Inventory Purchase,25000,0,59500
2024-02-01,Customer Payment - GHI Co,0,42000,101500
2024-02-05,Office Supplies,3500,0,98000
2024-02-10,Salary Payment - February,45000,0,53000
2024-02-12,Equipment Purchase,20000,0,33000
2024-02-15,Customer Payment - JKL Ltd,0,55000,88000
2024-02-18,Insurance Premium,5000,0,83000
2024-02-20,Office Rent - February,15000,0,68000
2024-02-22,Customer Payment - MNO Corp,0,38000,106000
2024-02-25,Utility Bills - Internet,1500,0,104500
2024-02-28,Professional Fees,6000,0,98500
2024-03-01,Customer Payment - PQR Inc,0,47000,145500
2024-03-05,Inventory Purchase,28000,0,117500
2024-03-08,Marketing Campaign,12000,0,105500
2024-03-10,Salary Payment - March,45000,0,60500
2024-03-12,Customer Payment - STU Ltd,0,52000,112500
2024-03-15,Software Subscription,4000,0,108500
2024-03-18,Travel Expenses,7500,0,101000
2024-03-20,Office Rent - March,15000,0,86000
2024-03-22,Customer Payment - VWX Co,0,44000,130000
2024-03-25,Maintenance Costs,3000,0,127000
2024-03-28,Utility Bills - Water,800,0,126200
2024-03-31,Bank Loan EMI,10000,0,116200
